rank,symbol,date,close,dma_200,distance_to_200dma_pct,dma_50,rsi_14,volume_ratio,break_below_date,breakdown_low,recovery_from_breakdown_low_pct,score,setup,recovery_candidate,reasons,high_52w,distance_to_52w_high_pct,high_2y,distance_to_2y_high_pct,high_level_score,high_level_setup,high_level_candidate,high_level_reasons,combined_setup,pe_ratio,pb_ratio,eps,dividend_yield,market_cap,roe,roce,operating_margin,net_profit_margin,debt_to_equity,current_ratio,quick_ratio,interest_coverage,revenue_growth,eps_growth,profit_growth,fundamental_score
447,RHIM,2026-08-14,379.85,417.95,-9.12,392.36,40.66,0.67,,,,0,NOT A RECOVERY,False,,518.4,-26.73,672.0,-43.47,0,NORMAL,False,,NONE,,2.2030635,-17.13,66.0,78439563264.0,,,9.503999,-8.663,12.595,,,,6.6000000000000005,83.0,83.0,35
448,TATACHEM,2026-08-13,672.05,736.7,-8.78,704.69,41.71,0.57,,,,0,NOT A RECOVERY,False,,1026.65,-34.54,1247.35,-46.12,0,NORMAL,False,,NONE,,0.8056795,-84.77,164.0,170852302848.0,,,5.1469997,-14.319,36.081,,,,14.399999999999999,,,23
449,ONGC,2026-08-14,236.4,258.96,-8.71,243.99,36.9,1.06,,,,0,NOT A RECOVERY,False,,307.5,-23.12,338.75,-30.21,0,NORMAL,False,,NONE,6.9345846,0.79999995,34.09,613.0,2973978066944.0,,,2.931,6.181,42.548,,,,25.7,21.4,21.4,68
450,IRB,2026-08-14,19.26,21.0,-8.28,20.41,34.45,0.53,,,,0,NOT A RECOVERY,False,,23.95,-19.58,33.45,-42.42,0,NORMAL,False,,NONE,24.692308,1.0894898,0.78,104.0,232622292992.0,,,22.489999,15.478,95.6,,,,-8.9,47.099999999999994,47.099999999999994,48
451,VBL,2026-08-14,435.0,473.57,-8.15,483.18,36.47,0.27,,,,0,NOT A RECOVERY,False,,555.8,-21.73,668.0,-34.88,0,NORMAL,False,,NONE,44.07295,7.5141215,9.87,46.0,1471372197888.0,16.853,,24.119,14.035,15.869,2.034,0.814,,20.4,15.7,15.7,66
452,HINDUNILVR,2026-08-14,2077.0,2258.72,-8.05,2139.74,44.44,0.63,,,,0,NOT A RECOVERY,False,,2750.0,-24.47,3035.0,-31.57,0,NORMAL,False,,NONE,46.08387,10.012727,45.07,212.0,4880101015552.0,,,20.724999999999998,22.644000000000002,3.016,,,,5.0,8.4,8.4,44
453,ELECON,2026-08-14,432.35,469.68,-7.95,486.98,39.93,0.87,,,,0,NOT A RECOVERY,False,,634.9,-31.9,739.1,-41.5,0,NORMAL,False,,NONE,41.137012,4.2075405,10.51,46.0,97019314176.0,,,15.245000000000001,9.852,11.824,,,,6.1,-59.8,-59.8,24
454,INDUSTOWER,2026-08-14,384.35,417.52,-7.94,396.91,46.06,1.2,,,,0,NOT A RECOVERY,False,,481.5,-20.18,481.5,-20.18,0,NORMAL,False,,NONE,14.125322,2.4493215,27.21,365.0,1013608742912.0,18.912001,,31.208000000000002,21.776,51.79,1.845,1.319,,4.6,0.6,0.6,63
455,SUZLON,2026-08-14,47.1,51.09,-7.8,53.24,28.89,0.38,,,,0,NOT A RECOVERY,False,,64.95,-27.48,86.04,-45.26,0,NORMAL,False,,NONE,20.567686,6.6216784,2.29,,647426277376.0,39.366,,13.05,18.090001,2.807,1.969,1.112,,22.5,-8.3,-8.3,60
456,CIEINDIA,2026-08-14,407.75,442.22,-7.79,445.24,35.41,0.22,,,,0,NOT A RECOVERY,False,,526.0,-22.48,602.85,-32.36,0,NORMAL,False,,NONE,17.241014,1.9977854,23.65,172.0,154684997632.0,,,11.165,5.728,6.63,,,,10.6,15.9,15.9,56
